Id,Status,Audiobook,dateRead,bookTitle,bookAuthor,bookAuthoLF,bookImage,isbn13,bookPublisher,bookPages,bookYear,bookYearOriginal,bookBuyUrl
31,Yes,No,11/22/2021,Hogfather,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/8996450-L.jpg,9780000000000,Corgi,432,2006,1996,https://bookshop.org/p/books/hogfather-terry-pratchett/6432864?aid=93821&ean=9780062276285&listref=matt-s-reading-list&page=2
30,Yes,No,11/14/2021,Jingo,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/44421-L.jpg,9780000000000,HarperTorch,448,1999,1999,https://bookshop.org/p/books/jingo-terry-pratchett/6432983?aid=93821&ean=9780062280206&listref=matt-s-reading-list&page=2
29,Yes,No,10/27/2021,Witches Abroad,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/43529-L.jpg,9780000000000,ROC / The Penguin Group,252,1991,1991,https://bookshop.org/p/books/witches-abroad-terry-pratchett/6432133?aid=93821&ean=9780062237361&listref=matt-s-reading-list&page=2
28,Yes,No,10/20/2021,The Farthest Shore,Ursula K. Le Guin,"Guin, Ursula K. Le",https://covers.openlibrary.org/b/id/10508403-L.jpg,9780000000000,Atheneum Books for Young Readers,273,2012,1972,https://bookshop.org/p/books/the-farthest-shore-ursula-k-le-guin/10342190?aid=93821&ean=9780689845345&listref=matt-s-reading-list&page=2
27,Yes,No,10/14/2021,Moving Pictures,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/9022746-L.jpg,9780000000000,Corgi,332,1991,1990,https://bookshop.org/p/books/moving-pictures-a-novel-of-discworld-terry-pratchett/6432135?aid=93821&ean=9780062237347&listref=matt-s-reading-list
26,Yes,No,10/01/2021,The Tombs of Atuan,Ursula K. Le Guin,"Guin, Ursula K. Le",https://covers.openlibrary.org/b/id/8535684-L.jpg,9780000000000,Atheneum Books for Young Readers,196,2012,1970,https://bookshop.org/p/books/the-tombs-of-atuan-ursula-k-le-guin/10342223?aid=93821&ean=9780689845369&listref=matt-s-reading-list
25,Yes,No,09/27/2021,Eric,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/8786620-L.jpg,9780000000000,Harper,197,2008,1990,https://bookshop.org/p/books/eric-a-novel-of-discworld-terry-pratchett/6432125?aid=93821&ean=9780062237330&listref=matt-s-reading-list
24,Yes,No,09/25/2021,A Wizard of Earthsea,Ursula K. Le Guin,"Guin, Ursula K. Le",https://covers.openlibrary.org/b/id/8742393-L.jpg,9780000000000,Clarion Books,210,2012,1968,https://bookshop.org/p/books/a-wizard-of-earthsea-1-ursula-k-le-guin/6389611?aid=93821&ean=9780547722023&listref=matt-s-reading-list
23,Yes,No,09/19/2021,Master of the Senate,Robert A. Caro,"Caro, Robert A.",https://covers.openlibrary.org/b/id/253724-L.jpg,9780000000000,Vintage,1167,2003,2002,https://bookshop.org/p/books/master-of-the-senate-the-years-of-lyndon-johnson-iii-vintage-books-robert-a-caro/11251998?aid=93821&ean=9780394720951&listref=matt-s-reading-list
22,Yes,No,09/05/2021,Going Postal,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/366698-L.jpg,9780000000000,HarperTorch,394,2005,2004,https://bookshop.org/p/books/going-postal-terry-pratchett/6434410?aid=93821&ean=9780062334978&listref=matt-s-reading-list&page=3
21,Yes,No,08/29/2021,Soul Music,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/10957052-L.jpg,9780000000000,HarperCollins e-books,387,2009,1994,https://bookshop.org/p/books/soul-music-terry-pratchett/6432138?aid=93821&ean=9780062237415&listref=matt-s-reading-list
20,Yes,No,08/18/2021,Feet of Clay,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/379690-L.jpg,9780000000000,London : Gollancz,288,1996,1996,https://bookshop.org/p/books/feet-of-clay-terry-pratchett/18754128?aid=93821&ean=9780062275516&listref=matt-s-reading-list
19,Yes,No,08/08/2021,The Valley of Fear,Arthur Conan Doyle,"Doyle, Arthur Conan",https://covers.openlibrary.org/b/id/116989-L.jpg,9780000000000,Oxford University Press,291,1993,1915,https://bookshop.org/p/books/hound-of-the-baskervilles-valley-of-fear-collector-s-edition-arthur-conan-doyle/17209742?aid=93821&ean=9781840228076&listref=matt-s-reading-list
18,Yes,No,08/03/2021,Player Piano,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",https://covers.openlibrary.org/b/id/239818-L.jpg,9780000000000,,354,1952,1952,https://bookshop.org/p/books/player-piano-kurt-vonnegut/8616291?aid=93821&ean=9780385333788&listref=matt-s-reading-list
17,Yes,No,07/24/2021,Sir Gawain and the Green Knight,Unknown,"Unknown, Unknown",https://covers.openlibrary.org/b/id/12233906-L.jpg,9780000000000,Unbound,240,2018,1397,https://bookshop.org/p/books/sir-gawain-and-the-green-knight-simon-armitage/8843202?aid=93821&ean=9780393334159&listref=matt-s-reading-list
16,Yes,No,07/18/2021,The Music Lesson,Victor L. Wooten,"Wooten, Victor L.",https://covers.openlibrary.org/b/id/6409515-L.jpg,9780000000000,Hal Leonard Publishing Corporation,290,2015,2006,https://bookshop.org/p/books/the-music-lesson-a-spiritual-search-for-growth-through-music-victor-l-wooten/16645941?aid=93821&ean=9780425220931&listref=matt-s-reading-list
